Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Year,Month,MonthName,Quarter,Weekday,ShippingDays,ProfitMargin,IsProfitable
1914,13729,2009-01-01,Not Specified,9,872.48,0.08,Express Air,-342.91,95.99,35.0,Matt Collister,Quebec,Quebec,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,0.39,2009-01-03,2009,2009-01,Jan,2009Q1,Thursday,2,-0.3930290665688612,0
4031,28774,2009-01-01,High,32,180.36,0.1,Regular Air,-111.8,5.98,4.69,Jessica Myrick,Ontario,Ontario,Small Business,Office Supplies,Storage & Organization,"Perma STOR-ALLª Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Small Box,0.68,2009-01-02,2009,2009-01,Jan,2009Q1,Thursday,1,-0.6198713683743623,0
5272,37537,2009-01-02,Low,4,1239.06,0.0,Delivery Truck,-193.08,291.73,48.8,Alan Schoenberger,British Columbia,West,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagodaª Armless Upholstered Stacking Chairs,Jumbo Drum,0.56,2009-01-02,2009,2009-01,Jan,2009Q1,Friday,0,-0.1558278049489129,0
5273,37537,2009-01-02,Low,43,4083.19,0.07,Delivery Truck,-1049.85,100.98,45.0,Alan Schoenberger,British Columbia,West,Corporate,Furniture,Chairs & Chairmats,Hon Valutaskª Swivel Chairs,Jumbo Drum,0.69,2009-01-04,2009,2009-01,Jan,2009Q1,Friday,2,-0.2571151477153892,0
5274,37537,2009-01-02,Low,32,4902.38,0.05,Regular Air,1438.49,155.06,7.07,Alan Schoenberger,British Columbia,West,Corporate,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",Small Box,0.59,2009-01-09,2009,2009-01,Jan,2009Q1,Friday,7,0.29342686613440816,1
6225,44069,2009-01-02,Critical,43,614.8,0.08,Regular Air,247.79,15.04,1.97,Elizabeth Moffitt,British Columbia,West,Consumer,Office Supplies,Paper,White GlueTop Scratch Pads,Wrap Bag,0.39,2009-01-02,2009,2009-01,Jan,2009Q1,Friday,0,0.4030416395575797,1
6224,44069,2009-01-02,Critical,16,137.63,0.09,Express Air,26.71,9.11,2.15,Elizabeth Moffitt,British Columbia,West,Consumer,Office Supplies,Paper,"Black Print Carbonless Snap-Off¨ Rapid Letter, 8 1/2"" x 7""",Wrap Bag,0.4,2009-01-04,2009,2009-01,Jan,2009Q1,Friday,2,0.19407106008864347,1
1279,9285,2009-01-02,Critical,3,124.81,0.06,Regular Air,-11.94,40.98,2.99,David Philippe,Nova Scotia,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Small Box,0.36,2009-01-04,2009,2009-01,Jan,2009Q1,Friday,2,-0.09566541142536655,0
4224,30016,2009-01-03,Critical,8,754.6555,0.01,Regular Air,-212.55,110.99,2.5,Bill Donatelli,Ontario,Ontario,Corporate,Technology,Telephones and Communication,T18,Small Box,0.57,2009-01-06,2009,2009-01,Jan,2009Q1,Saturday,3,-0.28165169405112667,0
1315,9637,2009-01-03,Low,12,522.49,0.08,Regular Air,-236.43,43.22,16.71,Andy Reiter,Saskachewan,Prarie,Corporate,Technology,Computer Peripherals,"Fellowes Mobile Numeric Keypad, Graphite",Small Box,0.66,2009-01-05,2009,2009-01,Jan,2009Q1,Saturday,2,-0.4525062680625467,0
